MAKE,MODEL,GRADE,CHASSIS NO,COLOUR,IMAGE_URL,ENGINE CC,MILEAGE,YEAR/MONTH,LOCATION,PRICE,FEATURES,YEAR,MAKE_MODEL,_feature_tokens,MONTH
LANDROVER,RANGE ROVER,SPORTS,30011,RED,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,4990,57001.0,2019,NAIROBI,5013041,"12V ADAPTOR, 360 DEGREES CAMERA, 4 DOORS, 4WD, 5 SEATER, ABS, ABS CONTROL, AC CHARGER ADAPTER, ALLOY RIMS, AMBIENT LIGHTING, AUTOMATIC CLIMATE CONTROL, CRUISE CONTROL, CUP HOLDER, DAYTIME RUNNING LED, DIGITAL DISPLAY, DOWNHILL ASSIST CONTROL, DRIVER'S ARMREST WITH STORAGE, DRIVING MODE SELECTOR, ELECTRIC HANDBRAKE, FRONT & REAR CLIMATE CONTROL, FULL DIGITAL CLUSTER METER, HEADLIGHT WASHERS, HEATED SEATS, HEIGHT CONTROL, KEYLESS ENTRY / EXIT, LANE DEPARTURE WARNING SYSTEM (LDWS), LEATHER SEATS, LED HEADLIGHTS, LOW FRICTION LAUNCH MODE, LUMBAR SUPPORT, MEMORY SEATS, MERIDIAN SURROUND SOUND SPEAKERS, MERIDIAN SURROUND SPEAKERS WITH SUBWOOFER, MILES PER GALLON INDICATOR, MULTI FUNCTIONAL STEERING, MULTILINGUAL CENTER CONSOLE, MULTIMEDIA CENTRE CONSOLE, PADDLE SHIFTERS, PARKING SENSORS, PARKING SENSORS & CAMERAS, POWER BOOT, POWER DOOR LOCKS, POWER PANORAMIC SUNROOF, POWER SEATS, POWER SIDE MIRRORS, POWER STEERING, POWER SUNROOF, POWER TAILGATE, POWER WINDOW, PRE CRASH DETECTION ASSIST, PUSH  TO START, REVERSE CAMERA, REVERSE WARNING BUZZER, SIDE MIRROR INDICATORS, SIDE STEPS, SOFT DOOR CLOSE, SUSPENSION CONTROL, TRACTION CONTROL, TYRE PRESSURE MONITOR, USB PORT, VOICE COMMAND MODE, WIRELESS APPLE CARPLAY & ANDROID AUTO COMPATIBILITY, WIRELESS CHARGER",2019,LANDROVER RANGE ROVER,"['12v', 'adaptor', '360', 'degrees', 'camera', '4', 'doors', '4wd', '5', 'seater', 'abs', 'abs', 'control', 'ac', 'charger', 'adapter', 'alloy', 'rims', 'ambient', 'lighting', 'automatic', 'climate', 'control', 'cruise', 'control', 'cup', 'holder', 'daytime', 'running', 'led', 'digital', 'display', 'downhill', 'assist', 'control', 'driver', 's', 'armrest', 'with', 'storage', 'driving', 'mode', 'selector', 'electric', 'handbrake', 'front', 'rear', 'climate', 'control', 'full', 'digital', 'cluster', 'meter', 'headlight', 'washers', 'heated', 'seats', 'height', 'control', 'keyless', 'entry', 'exit', 'lane', 'departure', 'warning', 'system', 'ldws', 'leather', 'seats', 'led', 'headlights', 'low', 'friction', 'launch', 'mode', 'lumbar', 'support', 'memory', 'seats', 'meridian', 'surround', 'sound', 'speakers', 'meridian', 'surround', 'speakers', 'with', 'subwoofer', 'miles', 'per', 'gallon', 'indicator', 'multi', 'functional', 'steering', 'multilingual', 'center', 'console', 'multimedia', 'centre', 'console', 'paddle', 'shifters', 'parking', 'sensors', 'parking', 'sensors', 'cameras', 'power', 'boot', 'power', 'door', 'locks', 'power', 'panoramic', 'sunroof', 'power', 'seats', 'power', 'side', 'mirrors', 'power', 'steering', 'power', 'sunroof', 'power', 'tailgate', 'power', 'window', 'pre', 'crash', 'detection', 'assist', 'push', 'to', 'start', 'reverse', 'camera', 'reverse', 'warning', 'buzzer', 'side', 'mirror', 'indicators', 'side', 'steps', 'soft', 'door', 'close', 'suspension', 'control', 'traction', 'control', 'tyre', 'pressure', 'monitor', 'usb', 'port', 'voice', 'command', 'mode', 'wireless', 'apple', 'carplay', 'android', 'auto', 'compatibility', 'wireless', 'charger']",2.0
LANDROVER,RANGE ROVER,SPORTS,51763,BLACK,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,3000,65143.0,2019,JAPAN,977493,,2019,LANDROVER RANGE ROVER,[],4.0
LANDROVER,RANGE ROVER,SPORTS,24614,BLUE,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,3000,66914.0,2019,JAPAN,5092102,,2019,LANDROVER RANGE ROVER,[],5.0
LANDROVER,RANGE ROVER,SPORTS,339,PEARL,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,3000,42982.0,2019,JAPAN,4730913,,2019,LANDROVER RANGE ROVER,[],2.0
LANDROVER,RANGE ROVER,SPORTS,17180,ORANGE,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,3000,120126.0,2019,MOMBASA,4123312,,2019,LANDROVER RANGE ROVER,[],2.0
PORSCHE,MACAN,GTS,74771,WHITE,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,3000,94070.0,2018,MOMBASA,692528,,2018,PORSCHE MACAN,[],4.0
SUBARU,IMPREZA,XV,71991,WHITE,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,2000,148772.0,2018,MOMBASA,4959181,,2018,SUBARU IMPREZA,[],5.0
TOYOTA,LANDCRUSIER,LC300,85165,RED,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,3440,8000.0,2023,NAIROBI,620913,,2023,TOYOTA LANDCRUSIER,[],5.0
LANDROVER,RANGE ROVER,SPORTS,35330,BLACK,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,3000,113777.0,2019,MOMBASA,524104,,2019,LANDROVER RANGE ROVER,[],6.0
NISSAN,NOTE,NISMO,30190,BLUE,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,1200,92772.0,2018,MOMBASA,1559606,,2018,NISSAN NOTE,[],11.0
NISSAN,NOTE,NISMO,48222,PEARL,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,1200,75754.0,2018,MOMBASA,521714,,2018,NISSAN NOTE,[],2.0
LANDROVER,RANGE ROVER,VELAR,99103,ORANGE,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,3000,48855.0,2019,JAPAN,3643717,,2019,LANDROVER RANGE ROVER,[],1.0
LANDROVER,RANGE ROVER,SPORTS,10889,WHITE,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,5000,65800.0,2018,MOMBASA,2880309,,2018,LANDROVER RANGE ROVER,[],11.0
TOYOTA,LANDCRUSIER,LC300,83534,WHITE,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,3440,13025.0,2023,NAIROBI,1057512,,2023,TOYOTA LANDCRUSIER,[],5.0
BMW,MINI,CLUBMAN,76450,RED,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,1500,108672.0,2018,NAIROBI,1651140,,2018,BMW MINI,[],2.0
TOYOTA,LANDCRUSIER,LC300,80291,BLACK,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,3440,6870.0,2023,MOMBASA,1242863,,2023,TOYOTA LANDCRUSIER,[],4.0
TOYOTA,LANDCRUSIER,LC200,31513,BLUE,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,4461,1.0,2017,NAIROBI,4562056,,2017,TOYOTA LANDCRUSIER,[],1.0
NISSAN,NV200,UNKNOWN,32117,PEARL,https://ahm-bucket.s3.eu-north-1.amazonaws.com/vehicles/2bJK0XgoaLh2CTt9Ac3ki0eKq7mLY713UuuuMB7L.jpeg,1600,140100.0,2019,MOMBASA,691462,"ABS, CUP HOLDER, FABRIC SEATS, KEY START, MANUAL SEATS CONTROL, POWER STEERING, VAN",2019,NISSAN NV200,"['abs', 'cup', 'holder', 'fabric', 'seats', 'key', 'start', 'manual', 'seats', 'control', 'power', 'steering', 'van']",2.0
